graph	mode	path	nodes	w	threads	time_s	exit_code	expansions	cost
grid_1e9_sparse	grid	bench_specs/grid_1e9_sparse.spec	1	1	1	199.969190	0	999999998	69998
grid_1e9_sparse	grid	bench_specs/grid_1e9_sparse.spec	1	1	8	204.385365	0	999999998	69998
grid_1e9_sparse	grid	bench_specs/grid_1e9_sparse.spec	1	5	1	0.019760	0	69998	69998
grid_1e9_sparse	grid	bench_specs/grid_1e9_sparse.spec	1	5	8	0.020810	0	69998	69998
grid_1e9_sparse	grid	bench_specs/grid_1e9_sparse.spec	2	1	1	NA	143	NA	NA
grid_1e9_sparse	grid	bench_specs/grid_1e9_sparse.spec	2	1	8	NA	143	NA	NA
grid_1e9_sparse	grid	bench_specs/grid_1e9_sparse.spec	2	5	1	0.038647	0	80143	69998
grid_1e9_sparse	grid	bench_specs/grid_1e9_sparse.spec	2	5	8	0.040606	0	80143	69998
csr_planar_n1000	csr	graphgen/data/tests/planar_n1000.txt	1	1	1	0.013034	0	590	15
csr_planar_n1000	csr	graphgen/data/tests/planar_n1000.txt	1	1	8	0.003857	0	590	15
csr_planar_n1000	csr	graphgen/data/tests/planar_n1000.txt	1	5	1	0.002540	0	590	15
csr_planar_n1000	csr	graphgen/data/tests/planar_n1000.txt	1	5	8	0.002491	0	590	15
csr_planar_n1000	csr	graphgen/data/tests/planar_n1000.txt	2	1	1	0.004838	0	624	30
csr_planar_n1000	csr	graphgen/data/tests/planar_n1000.txt	2	1	8	0.004744	0	624	30
csr_planar_n1000	csr	graphgen/data/tests/planar_n1000.txt	2	5	1	0.005460	0	624	30
csr_planar_n1000	csr	graphgen/data/tests/planar_n1000.txt	2	5	8	0.005948	0	624	30
