graph	config	time_s	expansions	cost
uniform_8way	serial	0.080581	100000	141419.942024
uniform_8way	mpi_256x1	0.572926	16842630	141419.942024
uniform_8way	mpi_128x2	0.503624	7397261	141419.942024
uniform_8way	mpi_64x4	0.450999	3461018	141419.942024
uniform_8way	mpi_32x8	0.321401	1689524	141419.942024
uniform_8way	mpi_16x16	0.184514	852969	141419.942024
urban	serial	75.842273	54599482	141647.227161
urban	mpi_256x1	2.074324	50379703	141674.759124
urban	mpi_128x2	3.073809	40625626	141665.972327
urban	mpi_64x4	5.276417	39116988	141658.94289
urban	mpi_32x8	9.119855	44541895	141648.398734
urban	mpi_16x16	15.163287	52854399	141647.227161
campus	serial	30.695608	22231001	141510.738921
campus	mpi_256x1	1.428202	29191000	141538.270884
campus	mpi_128x2	1.525344	18962121	141527.726728
campus	mpi_64x4	2.225345	15933419	141519.525718
campus	mpi_32x8	2.971919	15511827	141518.354145
campus	mpi_16x16	5.052449	18112682	141515.425213
elongated_metro	serial	89.409287	72578769	141723.379398
elongated_metro	mpi_256x1	2.411386	58984467	141760.283944
elongated_metro	mpi_128x2	4.115626	53031192	141746.810856
elongated_metro	mpi_64x4	7.699191	54491520	141733.337768
elongated_metro	mpi_32x8	11.806970	54550748	141728.651476
elongated_metro	mpi_16x16	22.890502	77364059	141723.379398
regional_4way	serial	4.479424	4643898	141438.101403
regional_4way	mpi_256x1	1.257575	24370399	141444.545054
regional_4way	mpi_128x2	1.110859	12299776	141444.545054
regional_4way	mpi_64x4	1.113091	8137677	141441.030335
regional_4way	mpi_32x8	0.914956	4816186	141442.201908
regional_4way	mpi_16x16	0.869268	3562171	141441.616122
dense_urban	serial	116.751638	89452455	141799.531635
dense_urban	mpi_256x1	3.084004	72703520	141834.093035
dense_urban	mpi_128x2	5.090853	64586505	141827.063598
dense_urban	mpi_64x4	9.035400	66177810	141807.146859
dense_urban	mpi_32x8	13.941640	66493728	141806.561072
dense_urban	mpi_16x16	31.968788	108962706	141799.531635
